device_id,device_location,license_plate_number,timestamp,confidence_level,img,location
0000-0000-0000-0001-1395-0082,ENTER,OKJ1241,1633043191488,0.9994,OKJ1241.jpg,THE-LANDING
0000-0000-0000-0001-1395-0082,EXIT,SAF2102,1632424154799,0.9994,SAF2102.jpg,THE-LANDING
0000-0000-0000-0001-1395-0082,EXIT,SWI4344,1632489240675,0.9991,SWI4344.jpg,THE-LANDING
0000-0000-0000-0001-1395-0082,EXIT,OKJ1241,1633093705631,0.999,OKJ1241.jpg,THE-LANDING
0000-0000-0000-0001-1395-0082,ENTER,OPM1243,1633045439975,0.999,OPM1243.jpg,THE-LANDING
0000-0000-0000-0001-1395-0082,ENTER,SWI4344,1632558072098,0.999,SWI4344.jpg,THE-LANDING
0000-0000-0000-0001-1395-0082,EXIT,ASF9218,1632376180192,0.9988,ASF9218.jpg,THE-LANDING
0000-0000-0000-0001-1395-0082,ENTER,JFW9324,1632362225072,0.9987,JFW9324.jpg,THE-LANDING
0000-0000-0000-0001-1395-0082,ENTER,QGF2419,1632906426767,0.9986,QGF2419.jpg,THE-LANDING
0000-0000-0000-0001-1395-0082,ENTER,OPM1243,1633018250003,0.9986,OPM1243.jpg,THE-LANDING
0000-0000-0000-0001-1395-0082,EXIT,OPM1243,1633090250003,0.9986,OPM1243.jpg,THE-LANDING
0000-0000-0000-0001-1395-0082,EXIT,OPM1243,1633040250003,0.9986,OPM1243.jpg,THE-LANDING
